name,type,n_anthropic/claude-sonnet-4.5,n_deepseek/deepseek-v3.1-terminus,n_google/gemini-2.5-flash,n_meta-llama/llama-4-maverick,n_openai/gpt-5-mini,pooled_count,llm_freq,human_freq,lift,lift_ci_low,lift_ci_high,n_models,unstable
Liv,first,0,0,0,0,1,1,0.00100,1.944e-05,51.4,9.1,290.2,1,1
Jaren,first,0,0,0,0,1,1,0.00100,1.995e-05,50.1,8.8,282.8,1,1
Llewellyn,surname,0,0,0,0,1,1,0.00100,2.018e-05,49.6,8.7,279.6,1,1
Tanesha,first,0,0,0,0,1,1,0.00100,2.041e-05,49.0,8.7,276.5,1,1
Rachel,first,0,0,0,58,37,95,0.09500,1.958e-03,48.5,40.0,58.6,2,0
Benedict,first,1,0,0,0,0,1,0.00100,2.069e-05,48.3,8.5,272.8,1,1
Ford,first,0,0,1,0,0,1,0.00100,2.071e-05,48.3,8.5,272.4,1,1
Arlo,first,0,2,0,0,0,2,0.00200,4.166e-05,48.0,13.2,174.3,1,1
Valencia,first,0,0,1,0,1,2,0.00200,4.230e-05,47.3,13.0,171.7,2,1
Emily,first,0,0,2,81,60,143,0.14300,3.040e-03,47.0,40.4,54.6,3,0
Stone,first,0,0,1,0,0,1,0.00100,2.131e-05,46.9,8.3,264.7,1,1
Mac,first,0,0,0,0,1,1,0.00100,2.140e-05,46.7,8.2,263.7,1,1
Flynn,surname,0,0,0,6,4,10,0.01000,2.148e-04,46.6,25.3,85.2,2,0
Beatrice,first,0,1,5,0,0,6,0.00600,1.289e-04,46.5,21.4,101.1,2,1
Rigby,surname,0,0,0,0,1,1,0.00100,2.188e-05,45.7,8.1,257.8,1,1
Rusty,first,0,1,0,0,2,3,0.00300,6.768e-05,44.3,15.1,129.8,2,1
Jules,first,0,1,0,0,0,1,0.00100,2.257e-05,44.3,7.8,250.0,1,1
Orion,first,0,1,0,0,2,3,0.00300,6.800e-05,44.1,15.0,129.2,2,1
Styles,surname,0,0,0,1,0,1,0.00100,2.320e-05,43.1,7.6,243.2,1,1
Foster,first,0,0,0,0,1,1,0.00100,2.332e-05,42.9,7.6,241.9,1,1
Zack,first,0,0,0,0,1,1,0.00100,2.399e-05,41.7,7.4,235.2,1,1
Edmund,first,3,0,0,0,0,3,0.00300,7.313e-05,41.0,14.0,120.1,1,1
Ember,first,0,1,0,0,1,2,0.00200,5.133e-05,39.0,10.7,141.5,2,1
Marina,first,5,0,0,0,0,5,0.00500,1.331e-04,37.6,16.1,87.5,1,1
Blythe,surname,0,1,0,0,0,1,0.00100,2.693e-05,37.1,6.6,209.5,1,1
Wentworth,surname,0,0,0,0,1,1,0.00100,2.719e-05,36.8,6.5,207.6,1,1
Morse,surname,0,0,0,1,4,5,0.00500,1.415e-04,35.3,15.1,82.3,2,1
Franco,first,1,0,0,0,0,1,0.00100,2.877e-05,34.8,6.1,196.1,1,1
Jonas,first,0,0,2,0,1,3,0.00300,8.699e-05,34.5,11.7,101.0,2,1
Mercy,first,1,0,0,0,0,1,0.00100,2.916e-05,34.3,6.1,193.5,1,1
Silas,first,0,2,3,1,0,6,0.00600,1.783e-04,33.7,15.4,73.1,3,1
Elian,first,0,0,0,1,0,1,0.00100,3.028e-05,33.0,5.8,186.3,1,1
Corbin,surname,0,0,3,0,0,3,0.00300,9.106e-05,32.9,11.2,96.4,1,1
Jankowski,surname,0,1,0,0,0,1,0.00100,3.040e-05,32.9,5.8,185.6,1,1
Livia,first,1,0,0,0,0,1,0.00100,3.076e-05,32.5,5.7,183.4,1,1
Leif,first,0,0,1,0,0,1,0.00100,3.126e-05,32.0,5.6,180.5,1,1
Emil,first,1,0,0,0,0,1,0.00100,3.144e-05,31.8,5.6,179.5,1,1
Amira,first,1,0,0,0,1,2,0.00200,6.294e-05,31.8,8.7,115.4,2,1
Jacques,first,0,0,0,1,0,1,0.00100,3.185e-05,31.4,5.5,177.1,1,1
Ophelia,first,0,0,0,1,0,1,0.00100,3.186e-05,31.4,5.5,177.1,1,1
Gemma,first,0,1,1,0,0,2,0.00200,6.610e-05,30.3,8.3,109.9,2,1
Lupe,first,0,0,0,0,1,1,0.00100,3.349e-05,29.9,5.3,168.5,1,1
Bristol,first,0,0,0,1,0,1,0.00100,3.382e-05,29.6,5.2,166.9,1,1
Harlow,first,1,0,0,0,0,1,0.00100,3.386e-05,29.5,5.2,166.7,1,1
Samir,first,0,0,0,0,1,1,0.00100,3.409e-05,29.3,5.2,165.5,1,1
Davina,first,0,1,0,0,0,1,0.00100,3.443e-05,29.0,5.1,163.9,1,1
Astrid,first,0,0,0,1,0,1,0.00100,3.457e-05,28.9,5.1,163.2,1,1
Dax,first,1,0,0,0,0,1,0.00100,3.542e-05,28.2,5.0,159.3,1,1
Lisette,first,0,0,0,0,1,1,0.00100,3.575e-05,28.0,4.9,157.8,1,1
